"Count of Vehicles by Make ,Body Type and Colour as at  30th June 2020",,,,
MAKE_DESC,BODY_TYPE_DESC,YEAR_OF_MANUFACTURE,COLOUR_DESC,TOTAL
AHE,TRAILER,2003,WHITE,2
AHE,TRAILER,2004,BLUE,2
AHE,TRAILER,2005,SILVER,1
AHE,TRAILER,2005,WHITE,3
AHE,TRAILER,2010,WHITE,1
AIR RIDE,DOG TRAILER,1990,WHITE,4
AIR RIDE,DOG TRAILER,1992,WHITE,2
AIR RIDE,DOG TRAILER,1993,RED,1
AIR RIDE,DOG TRAILER,1995,SILVER,1
AIR RIDE,DOG TRAILER,1997,WHITE,1
AIR RIDE,DOLLY TRAILER,1986,BLUE,1
AIR RIDE,DOLLY TRAILER,1986,RED,1
AIR RIDE,DOLLY TRAILER,1990,RED,1
AIR RIDE,DOLLY TRAILER,1990,YELLOW,1
AIR RIDE,DOLLY TRAILER,1991,RED,1
AIR RIDE,DOLLY TRAILER,1992,RED,1
AIR RIDE,DOLLY TRAILER,1995,WHITE,1
AIR RIDE,DOLLY TRAILER,2001,BROWN,1
AIR RIDE,INDUSTRIAL TRAILER,1990,SILVER,1
AIR RIDE,INDUSTRIAL TRAILER,1990,YELLOW,1
AIR RIDE,INDUSTRIAL TRAILER,1993,YELLOW,1
AIR RIDE,INDUSTRIAL TRAILER,1997,WHITE,1
AIR RIDE,LEAD TRAILER,1992,RED,1
AIR RIDE,LEAD TRAILER,1993,BLUE,1
AIR RIDE,LEAD TRAILER,1996,RED,1
AIR RIDE,LEAD TRAILER,2002,WHITE,1
AIR RIDE,LOW LOADER,1988,YELLOW,1
AIR RIDE,LOW LOADER,1994,YELLOW,1
AIR RIDE,LOW LOADER,1995,WHITE,1
AIR RIDE,LOW LOADER,1997,WHITE,1
AIR RIDE,LOW LOADER,1998,YELLOW,1
AIR RIDE,LOW LOADER DOLLY,1990,YELLOW,1
AIR RIDE,NOT RECORDED-COMM TRL,1990,WHITE,1
AIR RIDE,NOT RECORDED-NON-COMM TRL,1991,WHITE,1
AIR RIDE,PIG TRAILER,1992,BLACK,2
AIR RIDE,PIG TRAILER,1993,WHITE,1
AIR RIDE,PIG TRAILER,1995,BLUE,1
AIR RIDE,PIG TRAILER,1995,WHITE,2
AIR RIDE,PIG TRAILER,1997,RED,1
AIR RIDE,PIG TRAILER,1998,WHITE,1
AIR RIDE,PIG TRAILER,2000,WHITE,1
AIR RIDE,SEMI TRAILER,1986,YELLOW,1
AIR RIDE,SEMI TRAILER,1988,WHITE,2
AIR RIDE,SEMI TRAILER,1989,WHITE,1
AIR RIDE,SEMI TRAILER,1990,GREY,1
AIR RIDE,SEMI TRAILER,1990,RED,1
AIR RIDE,SEMI TRAILER,1990,WHITE,1
AIR RIDE,SEMI TRAILER,1991,GREEN,1
AIR RIDE,SEMI TRAILER,1991,RED,2
AIR RIDE,SEMI TRAILER,1991,YELLOW,1
AIR RIDE,SEMI TRAILER,1992,WHITE,1
AIR RIDE,SEMI TRAILER,1993,GREY,1
AIR RIDE,SEMI TRAILER,1993,RED,2
AIR RIDE,SEMI TRAILER,1993,WHITE,6
AIR RIDE,SEMI TRAILER,1993,YELLOW,1
AIR RIDE,SEMI TRAILER,1994,WHITE,2
AIR RIDE,SEMI TRAILER,1995,GREEN,1
AIR RIDE,SEMI TRAILER,1995,WHITE,1
AIR RIDE,SEMI TRAILER,1995,YELLOW,1
AIR RIDE,SEMI TRAILER,1996,WHITE,1
AIR RIDE,SEMI TRAILER,1996,YELLOW,1
AIR RIDE,SEMI TRAILER,1997,SILVER,1
AIR RIDE,SEMI TRAILER,1997,WHITE,1
AIR RIDE,SEMI TRAILER,1999,BLUE,3
AIR RIDE,SEMI TRAILER,1999,SILVER,1
AIR RIDE,SEMI TRAILER,1999,WHITE,1
AIR RIDE,SEMI TRAILER,1999,YELLOW,1
AIR RIDE,SEMI TRAILER,2000,BLUE,2
AIR RIDE,SEMI TRAILER,2000,WHITE,1
AIR RIDE,SEMI TRAILER,2001,BLUE,1
AIR RIDE,SEMI TRAILER,2001,GREY,1
AIR RIDE,SEMI TRAILER,2001,RED,1
AIR RIDE,SEMI TRAILER,2001,WHITE,1
AIR RIDE,SEMI TRAILER,2001,YELLOW,1
AIR RIDE,SEMI TRAILER,2002,BLUE,5
AIR RIDE,SEMI TRAILER,2002,GREEN,5
AIR RIDE,SEMI TRAILER,2002,RED,7
AIR RIDE,SEMI TRAILER,2002,YELLOW,1
AIR RIDE,SEMI TRAILER,2003,BLUE,5
AIR RIDE,SEMI TRAILER,2003,RED,1
AIR RIDE,SEMI TRAILER,2003,WHITE,1
AIR RIDE,SEMI TRAILER,2004,BLUE,1
AIR RIDE,SEMI TRAILER,2004,RED,1
AIR RIDE,SEMI TRAILER,2004,WHITE,1
AIR RIDE,SEMI TRAILER,2018,BLUE,1
AIR RIDE,SPRAY TANKER TRAILER,1993,GREEN,1
AIR RIDE,TANKER TRAILER,1989,WHITE,1
AIR RIDE,TANKER TRAILER,1990,SILVER,1
AIR RIDE,TANKER TRAILER,1998,GREEN,1
AIR RIDE,TANKER TRAILER,1998,WHITE,1
AIR RIDE,TANKER TRAILER,1999,RED,1
AIR RIDE,TIPPER TRAILER,1994,BLUE,1
AIR RIDE,TIPPER TRAILER,1995,GREY,1
AIR RIDE,TIPPER TRAILER,1995,WHITE,1
AIR RIDE,TIPPER TRAILER,1996,WHITE,2
AIR RIDE,TIPPER TRAILER,1997,WHITE,2
AIR RIDE,TIPPER TRAILER,1998,WHITE,1
AIR RIDE,TRAILER,1993,RED,1
AIR RIDE,TRAILER,1993,WHITE,4
AIR RIDE,TRAILER,1994,WHITE,1
AIR RIDE,TRAILER,1995,RED,1
AIR RIDE,TRAILER,1997,WHITE,1
AIR RIDE,TRAILER,1997,YELLOW,1
AIR RIDE,TRAILER,2000,BLUE,1
AIR RIDE,TRAILER,2000,RED,1
AIR RIDE,TRAILER,2001,WHITE,1
AIR RIDE,TRAILER,2003,RED,1
AIR RIDE,TRAILER,2004,SILVER,1
AIR RIDE,TRAILER,2008,BLUE,1
AIR RIDE,VAN TRAILER,1994,WHITE,1
AJS,SEDAN,1930,BLACK,1
AJS,SEDAN,1930,RED,1
AJS,SIDECAR,1946,BLACK,1
AJS,SIDECAR,1951,BLACK,1
AJS,SOLO,1924,BLACK,2
AJS,SOLO,1927,BLACK,1
AJS,SOLO,1928,BLACK,1
AJS,SOLO,1929,BLACK,2
AJS,SOLO,1937,BLACK,1
AJS,SOLO,1947,BLACK,1
AJS,SOLO,1948,BLACK,1
AJS,SOLO,1948,RED,1
AJS,SOLO,1949,BLACK,1
AJS,SOLO,1950,BLACK,4
AJS,SOLO,1951,BLACK,3
AJS,SOLO,1952,BLACK,5
AJS,SOLO,1953,BLACK,3
AJS,SOLO,1954,BLACK,3
